"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"01/20/2014","77","Ozone","Red Hills","06-079-8005","AQS","77","1","51","67","39"
"01/21/2014","100","PM2.5","Atascadero (original site)","06-079-8001","AQS","64","1","63","100","33"
"01/22/2014","79","PM2.5","Atascadero (original site)","06-079-8001","AQS","45","0","56","79","40"
"01/23/2014","70","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","0","44","70","25"
"01/24/2014","66","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","39","1","42","66","25"
"01/25/2014","67","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","1","49","67","34"
"01/26/2014","61","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","0","36","61","24"
"01/27/2014","66","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","1","52","66","33"
"01/28/2014","72","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","4","60","72","21"
"01/29/2014","68","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","1","56","68","18"
"01/30/2014","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","39","0","19","45","16"
"01/31/2014","59","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","0","50","59","27"
"02/01/2014","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","0","38","55","23"
"02/02/2014","40","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","0","12","40","11"
"02/03/2014","40","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","0","15","40","16"
"02/04/2014","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","0","32","56","21"
"02/05/2014","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","0","32","54","15"
"02/06/2014","40","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","0","14","40","8"
"02/07/2014","39","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","35","0","13","39","12"
"02/08/2014","31","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","31","0","8","31","11"
"02/09/2014","32","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","31","0","10","32","10"
"02/10/2014","38","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","0","25","38","9"
"02/11/2014","47","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","32","3","33","47","14"
"02/12/2014","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","1","31","53","12"
"02/13/2014","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","1","31","55","27"
"02/14/2014","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","0","15","45","25"
"02/15/2014","46","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","1","13","46","23"
"02/16/2014","61","PM10","Arroyo Grande CDF","06-079-2007","AQS","36","1","61","59","16"
"02/17/2014","60","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","1","53","60","16"
"02/18/2014","48","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","0","32","48","24"
"02/19/2014","70","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","1","69","70","20"
"02/20/2014","37","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","0","15","37","17"
"02/21/2014","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","4","36","54","21"
"02/22/2014","76","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","4","64","76","17"
"02/23/2014","49","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","48","0","19","49","22"
"02/24/2014","108","Ozone","Red Hills","06-079-8005","AQS","108","0","21","60","26"
"02/25/2014","108","Ozone","Red Hills","06-079-8005","AQS","108","0","29","63","28"
"02/26/2014","42","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","39","0","17","42","16"
"02/27/2014","49","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","1","22","49","18"
"02/28/2014","44","Ozone","Red Hills","06-079-8005","AQS","44","0","14","38","5"
"03/01/2014","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","0","15","45","6"
"03/02/2014","43","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","0","16","43","12"
"03/03/2014","37","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","0","18","37","17"
"03/04/2014","50","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","35","1","39","50","15"
"03/05/2014","39","Ozone","Red Hills","06-079-8005","AQS","39","0","10","34","16"
"03/06/2014","68","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","0","59","68","13"
"03/07/2014","51","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","39","0","25","51","14"
"03/08/2014","57","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","48","0","32","57","25"
"03/09/2014","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","48","1","26","53","22"
"03/10/2014","68","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","0","62","68","20"
"03/11/2014","44","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","1","27","44","23"
"03/12/2014","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","0","29","52","20"
"03/13/2014","68","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46",".","57","68","27"
"03/14/2014","67","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","48","0","53","67","28"
"03/15/2014","68","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","1","58","68","13"
"03/16/2014","64","Ozone","Red Hills","06-079-8005","AQS","64","1","35","59","20"
"03/17/2014","89","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","86","89","14"
"03/18/2014","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","0","32","56","17"
"03/19/2014","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","51","3","39","56","24"
"03/20/2014","64","Ozone","Red Hills","06-079-8005","AQS","64","1","37","54","20"
"03/21/2014","61","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","0","35","61","17"
"03/22/2014","59","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","51","0","32","59","10"
"03/23/2014","58","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","58","0","34","58","15"
"03/24/2014","67","Ozone","Red Hills","06-079-8005","AQS","67","1","24","55","16"
"03/25/2014","51","Ozone","Red Hills","06-079-8005","AQS","51","0","19","46","20"
"03/26/2014","44","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","0","21","44","16"
"03/27/2014","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","0","40","55","13"
"03/28/2014","60","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","46","60","21"
"03/29/2014","44","Ozone","Carrizo Plains","06-079-8006","AQS","44","1","19","38","9"
"03/30/2014","58","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","53","58","10"
"03/31/2014","46","Ozone","Carrizo Plains","06-079-8006","AQS","46","0","14","40","16"
"04/01/2014","44","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","44","0","12","38","14"
"04/02/2014","47","Ozone","Carrizo Plains","06-079-8006","AQS","47","0","15","36","25"
"04/03/2014","46","Ozone","Red Hills","06-079-8005","AQS","46","0","17","41","21"
"04/04/2014","49","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","0","33","49","12"
"04/05/2014","75","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","0","72","75","13"
"04/06/2014","66","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","6","54","66","11"
"04/07/2014","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","51","1","31","55","24"
"04/08/2014","67","Ozone","Red Hills","06-079-8005","AQS","67","1","19","48","17"
"04/09/2014","64","Ozone","Red Hills","06-079-8005","AQS","64","0","13","45","19"
"04/10/2014","71","Ozone","Red Hills","06-079-8005","AQS","71","1","14","49","13"
"04/11/2014","61","Ozone","Red Hills","06-079-8005","AQS","61","1","19","55","16"
"04/12/2014","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","0","26","56","8"
"04/13/2014","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","34","56","11"
"04/14/2014","58","Ozone","Red Hills","06-079-8005","AQS","58","0","30","57","57"
"04/15/2014","71","Ozone","Carrizo Plains","06-079-8006","AQS","71","1","54","69","16"
"04/16/2014","80","Ozone","Carrizo Plains","06-079-8006","AQS","80","0","51","68","22"
"04/17/2014","61","Ozone","Red Hills","06-079-8005","AQS","61","0","36","59","14"
"04/18/2014","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","0","33","56","7"
"04/19/2014","77","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","58","1","72","77","8"
"04/20/2014","64","Ozone","Red Hills","06-079-8005","AQS","64","0","29","56","17"
"04/21/2014","80","Ozone","Carrizo Plains","06-079-8006","AQS","80","1","43","69","17"
"04/22/2014","98","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","50","0","93","98","9"
"04/23/2014","88","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","3","78","88","25"
"04/24/2014","92","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","3","85","92","16"
"04/25/2014","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","1","22","52","14"
"04/26/2014","67","PM10","Arroyo Grande CDF","06-079-2007","AQS","44","0","67","65","12"
"04/27/2014","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","0","40","54","8"
"04/28/2014","82","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","61","4","67","82","11"
"04/29/2014","71","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","71","4","40","58","18"
"04/30/2014","80","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","80","3","42","56","17"
"05/01/2014","100","Ozone","Red Hills","06-079-8005","AQS","100","4","50","56","20"
"05/02/2014","97","Ozone","Red Hills","06-079-8005","AQS","97","6","52","64","22"
"05/03/2014","66","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","58","3","58","66","13"
"05/04/2014","67","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","1","55","67","8"
"05/05/2014","61","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","1","44","61","14"
"05/06/2014","78","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","0","67","78","9"
"05/07/2014","64","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","0","43","64","10"
"05/08/2014","64","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","1","48","64","16"
"05/09/2014","79","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","0","67","79","11"
"05/10/2014","97","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","4","92","97","11"
"05/11/2014","80","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","3","65","80","7"
"05/12/2014","58","Ozone","Red Hills","06-079-8005","AQS","58","4","40","56","19"
"05/13/2014","77","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","77","1","46","54","23"
"05/14/2014","108","Ozone","Red Hills","06-079-8005","AQS","108","1","40","54","19"
"05/15/2014","119","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","119","3","47","59","21"
"05/16/2014","84","Ozone","Red Hills","06-079-8005","AQS","84","1","45","61","23"
"05/17/2014","81","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","67","1","70","81","8"
"05/18/2014","97","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","1","93","97","7"
"05/19/2014","60","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","1","52","60","10"
"05/20/2014","43","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","39","1","27","43","8"
"05/21/2014","44","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","33","1","23","44","15"
"05/22/2014","44","Ozone","Red Hills","06-079-8005","AQS","44","0","18","38","5"
"05/23/2014","58","Ozone","Carrizo Plains","06-079-8006","AQS","58","1","20","39","8"
"05/24/2014","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","0","42","54","5"
"05/25/2014","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","1","31","55","13"
