"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"02/18/2013","37","Ozone","Hollister","06-069-0002","AQS","37","15","20"
"02/19/2013","36","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","36","6","8"
"02/20/2013","33","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","33","9","8"
"02/21/2013","32","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","32","10","13"
"02/22/2013","40","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","40","10","16"
"02/23/2013","38","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","38","13","20"
"02/24/2013","40","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","40","9","17"
"02/25/2013","38","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","38","12","18"
"02/26/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44","13","18"
"02/27/2013","47","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","47","14","22"
"02/28/2013","41","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","41","11","20"
"03/01/2013","39","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","39","10","23"
"03/02/2013","48","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","48","16","25"
"03/03/2013","37","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","37","12","29"
"03/04/2013","33","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","33","12","23"
"03/05/2013","43","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","43","15","18"
"03/06/2013","39","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","39","8","6"
"03/07/2013","40","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","40","6","5"
"03/08/2013","38","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","38","8","18"
"03/09/2013","37","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","37","15","25"
"03/10/2013","42","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","42","11","20"
"03/11/2013","45","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","45","11","31"
"03/12/2013","46","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","46","17","35"
"03/13/2013","58","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","58","18","39"
"03/14/2013","74","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","74",".","23"
"03/15/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44",".","."
"03/16/2013","43","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","43",".","."
"03/17/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44",".","17"
"03/18/2013","40","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","40",".","."
"03/19/2013","41","Ozone","Hollister","06-069-0002","AQS","41",".","."
"03/20/2013","34","Ozone","Hollister","06-069-0002","AQS","34","6","17"
"03/21/2013","43","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","43","11","20"
"03/22/2013","51","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","51","21","35"
"03/23/2013","71","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","71","18","37"
"03/24/2013","48","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","48","16","24"
"03/25/2013","46","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","46","15","25"
"03/26/2013","40","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","40","12","13"
"03/27/2013","33","Ozone","Hollister","06-069-0002","AQS","33","6","7"
"03/28/2013","35","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","35","7","7"
"03/29/2013","34","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","34","9","17"
"03/30/2013","31","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","31","8","18"
"03/31/2013","40","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","40","8","17"
"04/01/2013","39","Ozone","Hollister","06-069-0002","AQS","39","6","9"
"04/02/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44","9","19"
"04/03/2013","46","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","46","12","26"
"04/04/2013","31","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","31","9","19"
"04/05/2013","35","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","35","6","11"
"04/06/2013","37","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","37","9","14"
"04/07/2013","40","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","40","13","23"
"04/08/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44","16","16"
"04/09/2013","46","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","46","15","13"
"04/10/2013","45","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","45","18","20"
"04/11/2013","43","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","43","20","33"
"04/12/2013","46","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","46","24","33"
"04/13/2013","40","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","40","25","33"
"04/14/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44","23","37"
"04/15/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44","12","8"
"04/16/2013","43","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","43","16","17"
"04/17/2013","46","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","46","19","16"
"04/18/2013","54","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","54","19","18"
"04/19/2013","47","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","47","19","21"
"04/20/2013","64","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","64","21","31"
"04/21/2013","71","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","71","19","29"
"04/22/2013","54","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","54","23","30"
"04/23/2013","54","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","54","20","22"
"04/24/2013","49","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","49","13","17"
"04/25/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44","18","20"
"04/26/2013","50","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","50","24","36"
"04/27/2013","54","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","54","28","53"
"04/28/2013","58","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","58","21","39"
"04/29/2013","49","Ozone","Hollister","06-069-0002","AQS","49","29","43"
"04/30/2013","71","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","71","33","46"
"05/01/2013","80","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","80","32","41"
"05/02/2013","101","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","101","46","42"
"05/03/2013","101","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","101","40","48"
"05/04/2013","93","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","93","35","50"
"05/05/2013","47","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","47","23","31"
"05/06/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44","16","28"
"05/07/2013","47","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","47","21","27"
"05/08/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44","17","30"
"05/09/2013","46","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","46","22","30"
"05/10/2013","54","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","54","26","40"
"05/11/2013","61","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","61","27","29"
"05/12/2013","71","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","71","19","26"
"05/13/2013","71","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","71","31","27"
"05/14/2013","39","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","39","31","38"
"05/15/2013","46","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","46","31","37"
"05/16/2013","43","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","43","16","17"
"05/17/2013","41","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","41","14","18"
"05/18/2013","51","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","51","17","12"
