"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"11/07/2015","84","PM2.5","Hanford-Irwin","06-031-1004","AQS","33","32","84","38"
"11/08/2015","90","PM2.5","Hanford-Irwin","06-031-1004","AQS","40","45","90","31"
"11/09/2015","33","Ozone","Hanford-Irwin","06-031-1004","AQS","33","7","17","16"
"11/10/2015","36","PM2.5","Hanford-Irwin","06-031-1004","AQS","33","7","36","17"
"11/11/2015","60","PM2.5","Hanford-Irwin","06-031-1004","AQS","33","21","60","37"
"11/12/2015","77","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","27","77","28"
"11/13/2015","95","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","38","95","34"
"11/14/2015","127","PM2.5","Hanford-Irwin","06-031-1004","AQS","33","77","127","32"
"11/15/2015","82","PM2.5","Hanford-Irwin","06-031-1004","AQS","28","33","82","23"
"11/16/2015","31","Ozone","Santa Rosa Rancheria","06-031-0500","AQS","31","18","29","18"
"11/17/2015","58","PM2.5","Hanford-Irwin","06-031-1004","AQS","30","27","58","29"
"11/18/2015","81","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","38","81","32"
"11/19/2015","97","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","50","97","."
"11/20/2015","107","PM2.5","Hanford-Irwin","06-031-1004","AQS","36","59","107","."
"11/21/2015","121","PM2.5","Hanford-Irwin","06-031-1004","AQS","41","61","121","."
"11/22/2015","139","PM2.5","Hanford-Irwin","06-031-1004","AQS","40","56","139","."
"11/23/2015","115","PM2.5","Hanford-Irwin","06-031-1004","AQS","42","59","115","."
"11/24/2015","59","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","23","59","."
"11/25/2015","37","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","9","37","."
"11/26/2015","58","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","16","58","16"
"11/27/2015","52","PM2.5","Hanford-Irwin","06-031-1004","AQS","29","14","52","20"
"11/28/2015","58","PM2.5","Hanford-Irwin","06-031-1004","AQS","25","19","58","25"
"11/29/2015","67","PM2.5","Hanford-Irwin","06-031-1004","AQS","29","23","67","27"
"11/30/2015","74","PM2.5","Hanford-Irwin","06-031-1004","AQS","29","31","74","22"
"12/01/2015","80","PM2.5","Hanford-Irwin","06-031-1004","AQS","26","37","80","35"
"12/02/2015","118","PM2.5","Hanford-Irwin","06-031-1004","AQS","27","58","118","34"
"12/03/2015","84","PM2.5","Hanford-Irwin","06-031-1004","AQS","34","50","84","18"
"12/04/2015","32","Ozone","Hanford-Irwin","06-031-1004","AQS","32","14","30","19"
"12/05/2015","73","PM2.5","Hanford-Irwin","06-031-1004","AQS","22","29","73","23"
"12/06/2015","97","PM2.5","Hanford-Irwin","06-031-1004","AQS","25","39","97","26"
"12/07/2015","93","PM2.5","Hanford-Irwin","06-031-1004","AQS","27","45","93","34"
"12/08/2015","116","PM2.5","Hanford-Irwin","06-031-1004","AQS","20","52","116","28"
"12/09/2015","113","PM2.5","Hanford-Irwin","06-031-1004","AQS","24","50","113","17"
"12/10/2015","76","PM2.5","Hanford-Irwin","06-031-1004","AQS","21","27","76","19"
"12/11/2015","44","PM2.5","Hanford-Irwin","06-031-1004","AQS","33","7","44","21"
"12/12/2015","69","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","21","69","26"
"12/13/2015","54","PM2.5","Hanford-Irwin","06-031-1004","AQS","29","15","54","16"
"12/14/2015","30","PM2.5","Hanford-Irwin","06-031-1004","AQS","28","10","30","22"
"12/15/2015","60","PM2.5","Hanford-Irwin","06-031-1004","AQS","18","21","60","29"
"12/16/2015","84","PM2.5","Hanford-Irwin","06-031-1004","AQS","22","28","84","26"
"12/17/2015","100","PM2.5","Hanford-Irwin","06-031-1004","AQS","23","40","100","."
"12/18/2015","104","PM2.5","Hanford-Irwin","06-031-1004","AQS","24","45","104","30"
"12/19/2015","93","PM2.5","Hanford-Irwin","06-031-1004","AQS","13","34","93","21"
"12/20/2015","49","PM2.5","Hanford-Irwin","06-031-1004","AQS","23","11","49","13"
"12/21/2015","38","PM2.5","Hanford-Irwin","06-031-1004","AQS","23","12","38","9"
"12/22/2015","35","PM2.5","Hanford-Irwin","06-031-1004","AQS","30","7","35","."
"12/23/2015","35","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","11","35","."
"12/24/2015","33","PM2.5","Hanford-Irwin","06-031-1004","AQS","24","10","33","16"
"12/25/2015","54","PM2.5","Hanford-Irwin","06-031-1004","AQS","30","13","54","14"
"12/26/2015","64","PM2.5","Hanford-Irwin","06-031-1004","AQS","16","16","64","15"
"12/27/2015","67","PM2.5","Hanford-Irwin","06-031-1004","AQS","18","17","67","19"
"12/28/2015","66","PM2.5","Hanford-Irwin","06-031-1004","AQS","22","21","66","16"
"12/29/2015","61","PM2.5","Hanford-Irwin","06-031-1004","AQS","25","19","61","23"
"12/30/2015","80","PM2.5","Hanford-Irwin","06-031-1004","AQS","22","30","80","22"
"12/31/2015","125","PM2.5","Hanford-Irwin","06-031-1004","AQS","19","38","125","26"
