"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25"
"02/17/2015","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","37","0","13","13"
"02/18/2015","35","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","35","0","14","17"
"02/19/2015","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","34","0","19","21"
"02/20/2015","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","41","0","13","17"
"02/21/2015","55","PM10","Mill Site","06-027-0030","AQS","44","0","55","26"
"02/22/2015","93","PM10","Mill Site","06-027-0030","AQS","41","0","93","55"
"02/23/2015","72","PM10","Keeler","06-027-1003","AQS","36","0","72","63"
"02/24/2015","129","PM10","Keeler","06-027-1003","AQS","44","0","129","122"
"02/25/2015","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","42","0","14","17"
"02/26/2015","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","44","0","10","15"
"02/27/2015","89","PM10","Dirty Socks","06-027-0022","AQS","44","0","89","20"
"02/28/2015","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","44","0","9","7"
"03/01/2015","40","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","40","0","4","9"
"03/02/2015","40","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","40","0","18","12"
"03/03/2015","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","42","0","7","14"
"03/04/2015","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","45","0","9","14"
"03/05/2015","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","43","0","13","14"
"03/06/2015","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","41","0","13","14"
"03/07/2015","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","43","0","22","22"
"03/08/2015","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","44","0","19","23"
"03/09/2015","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","45","0","19","25"
"03/10/2015","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","45","0","21","21"
"03/11/2015","45","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","45","0","31","22"
"03/12/2015","43","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","43","0","19","17"
"03/13/2015","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","42","0","16","11"
"03/14/2015","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","43","0","16","13"
"03/15/2015","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","47","0","15","18"
"03/16/2015","58","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","58","0","19","25"
"03/17/2015","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","64","0","23","28"
"03/18/2015","49","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","49","0","14","20"
"03/19/2015","51","PM10","Mill Site","06-027-0030","AQS","46","0","51","25"
"03/20/2015","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","44","0","16","14"
"03/21/2015","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","50","0","19","21"
"03/22/2015","45","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","45","0","21","23"
"03/23/2015","43","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","43","0","24","22"
"03/24/2015","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","41","0","15","13"
"03/25/2015","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","38","0","22","11"
"03/26/2015","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","37","0","16","12"
"03/27/2015","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","41","0","14","12"
"03/28/2015","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","51","0","14","22"
"03/29/2015","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","64","0","25","17"
"03/30/2015","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","71",".","20","23"
"03/31/2015","127","PM10","Mill Site","06-027-0030","AQS","80",".","127","85"
"04/01/2015","116","PM10","Keeler","06-027-1003","AQS","50","0","116","76"
"04/02/2015","75","PM10","Mill Site","06-027-0030","AQS","47","0","75","56"
"04/03/2015","45","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","45","0","19","21"
"04/04/2015","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","58","0","28","28"
"04/05/2015","135","PM10","North Beach","06-027-0029","AQS","64","0","135","66"
"04/06/2015","61","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","61","0","21","20"
"04/07/2015","55","PM10","Dirty Socks","06-027-0022","AQS","47","0","55","24"
"04/08/2015","48","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","48","0","11","8"
"04/09/2015","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","44","0","15","14"
"04/10/2015","64","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","64","0","19","25"
"04/11/2015","93","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","93","0","21","43"
"04/12/2015","48","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","48","0","21","29"
"04/13/2015","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","80","0","29","28"
"04/14/2015","523","PM10","Mill Site","06-027-0030","AQS","74","0","523","155"
"04/15/2015","73","PM10","Lizard Tail","06-027-0028","AQS","51","0","73","41"
"04/16/2015","49","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","49","0","24","22"
"04/17/2015","49","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","49","0","16","20"
"04/18/2015","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","50","0","30","39"
"04/19/2015","48","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","48","0","29","30"
"04/20/2015","90","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","90","0","19","35"
"04/21/2015","93","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","93","0","52","52"
"04/22/2015","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","74","0","22","46"
"04/23/2015","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","64","0","16","35"
"04/24/2015","66","PM2.5","Keeler","06-027-1003","AQS","50","0","49","66"
"04/25/2015","74","PM10","Keeler","06-027-1003","AQS","58","0","74","73"
"04/26/2015","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","58","0","46","43"
"04/27/2015","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","80","0","29","29"
"04/28/2015","61","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","61","0","17","25"
"04/29/2015","100","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","100","0","30","46"
"04/30/2015","87","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","87","0","29","46"
"05/01/2015","67","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","67","0","45","59"
"05/02/2015","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","67","0","25","35"
"05/03/2015","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","71","0","21","34"
"05/04/2015","61","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","61","0","29","48"
"05/05/2015","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","74","0","25","37"
"05/06/2015","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","77","0","30","62"
