"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"07/20/2016","43","Ozone","Jackson-Clinton Road","06-005-0002","AQS","43","."
"07/21/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"07/22/2016","71","Ozone","Jackson-Clinton Road","06-005-0002","AQS","71","."
"07/23/2016","54","Ozone","Jackson-Clinton Road","06-005-0002","AQS","54","."
"07/24/2016","74","Ozone","Jackson-Clinton Road","06-005-0002","AQS","74","."
"07/25/2016","84","Ozone","Jackson-Clinton Road","06-005-0002","AQS","84","."
"07/26/2016","101","Ozone","Jackson-Clinton Road","06-005-0002","AQS","101","."
"07/27/2016","97","Ozone","Jackson-Clinton Road","06-005-0002","AQS","97","."
"07/28/2016","71","Ozone","Jackson-Clinton Road","06-005-0002","AQS","71","."
"07/29/2016","46","Ozone","Jackson-Clinton Road","06-005-0002","AQS","46","."
"07/30/2016","42","Ozone","Jackson-Clinton Road","06-005-0002","AQS","42","."
"07/31/2016","51","Ozone","Jackson-Clinton Road","06-005-0002","AQS","51","."
"08/01/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"08/02/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"08/03/2016","115","Ozone","Jackson-Clinton Road","06-005-0002","AQS","115","."
"08/04/2016","50","Ozone","Jackson-Clinton Road","06-005-0002","AQS","50","."
"08/05/2016","46","Ozone","Jackson-Clinton Road","06-005-0002","AQS","46","."
"08/06/2016","67","Ozone","Jackson-Clinton Road","06-005-0002","AQS","67","."
"08/07/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"08/08/2016","48","Ozone","Jackson-Clinton Road","06-005-0002","AQS","48","."
"08/09/2016","46","Ozone","Jackson-Clinton Road","06-005-0002","AQS","46","."
"08/10/2016","80","Ozone","Jackson-Clinton Road","06-005-0002","AQS","80","."
"08/11/2016","87","Ozone","Jackson-Clinton Road","06-005-0002","AQS","87","."
"08/12/2016","105","Ozone","Jackson-Clinton Road","06-005-0002","AQS","105","."
"08/13/2016","87","Ozone","Jackson-Clinton Road","06-005-0002","AQS","87","."
"08/14/2016","61","Ozone","Jackson-Clinton Road","06-005-0002","AQS","61","."
"08/15/2016","64","Ozone","Jackson-Clinton Road","06-005-0002","AQS","64","."
