"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25","NO2"
"06/03/2009","44","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","44","14","."
"06/04/2009","37","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","37",".","."
"06/05/2009","32","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","32",".","."
"06/06/2009","34","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","34","15","."
"06/07/2009","43","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","43",".","."
"06/08/2009","58","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","58",".","."
"06/09/2009","46","Ozone","White Cloud","06-057-0007","AQS","46","21","."
"06/10/2009","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41",".","."
"06/11/2009","44","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","44",".","6"
"06/12/2009","40","Ozone","White Cloud","06-057-0007","AQS","40","25","5"
"06/13/2009","39","Ozone","White Cloud","06-057-0007","AQS","39",".","4"
"06/14/2009","43","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","43",".","4"
"06/15/2009","51","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","51","17","5"
"06/16/2009","71","Ozone","White Cloud","06-057-0007","AQS","71",".","7"
"06/17/2009","61","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","61",".","8"
"06/18/2009","64","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","64","23","5"
"06/19/2009","64","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","64",".","6"
"06/20/2009","46","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","46",".","4"
"06/21/2009","40","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","40","16","3"
"06/22/2009","44","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","44",".","7"
"06/23/2009","71","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","71",".","8"
"06/24/2009","140","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","140","26","8"
"06/25/2009","122","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","122",".","7"
"06/26/2009","77","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","77",".","14"
"06/27/2009","100","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","100","25","4"
"06/28/2009","87","Ozone","White Cloud","06-057-0007","AQS","87",".","3"
