"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"02/19/2018","36","Ozone","Livermore","06-001-0007","AQS","7","36","0","28","27"
"02/20/2018","36","NO2","Laney College","06-001-0012","AQS","8","31","0","31","36"
"02/21/2018","43","PM2.5","Oakland West","06-001-0011","AQS","6","35","1","43","34"
"02/22/2018","37","Ozone","Livermore","06-001-0007","AQS","6","37","0","35","32"
"02/23/2018","36","PM2.5","Oakland West","06-001-0011","AQS","8","35","0","36","36"
"02/24/2018","47","PM2.5","Oakland West","06-001-0011","AQS","13","38","0","47","32"
"02/25/2018","48","PM2.5","Laney College","06-001-0012","AQS","8","38","0","48","24"
"02/26/2018","37","Ozone","Livermore","06-001-0007","AQS","6","37","0","33","29"
"02/27/2018","38","Ozone","Livermore","06-001-0007","AQS","7","38","0","36","37"
"02/28/2018","41","PM2.5","Oakland West","06-001-0011","AQS","8","32","0","41","33"
"03/01/2018","42","PM2.5","Oakland West","06-001-0011","AQS","6","39","0","42","23"
"03/02/2018","38","Ozone","Livermore","06-001-0007","AQS","6","38","0","33","32"
"03/03/2018","39","Ozone","Oakland West","06-001-0011","AQS","7","39","0","33","26"
"03/04/2018","38","Ozone","Livermore","06-001-0007","AQS","7","38","0","35","21"
"03/05/2018","36","Ozone","Hayward","06-001-2001","AQS","8","36","0","28","36"
"03/06/2018","53","PM2.5","Oakland West","06-001-0011","AQS","9","38","6","53","50"
"03/07/2018","52","PM2.5","Oakland West","06-001-0011","AQS","11","46","13","52","41"
"03/08/2018","33","Ozone","Livermore","06-001-0007","AQS","7","33","1","28","31"
"03/09/2018","49","PM2.5","Laney College","06-001-0012","AQS","7","32","3","49","29"
"03/10/2018","58","PM2.5","Laney College","06-001-0012","AQS","8","23","0","58","31"
"03/11/2018","64","PM2.5","Oakland West","06-001-0011","AQS","9","37","4","64","24"
"03/12/2018","52","PM2.5","Oakland West","06-001-0011","AQS","8","29","1","52","32"
"03/13/2018","37","Ozone","Hayward","06-001-2001","AQS","6","37","0","30","26"
"03/14/2018","39","Ozone","Livermore","06-001-0007","AQS","6","39","1","33","35"
"03/15/2018","38","PM2.5","Oakland West","06-001-0011","AQS","7","37","0","38","29"
