"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"10/04/2017","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","42",".","24","33"
"10/05/2017","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44",".","27","42"
"10/06/2017","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44",".","34","19"
"10/07/2017","40","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","40",".","24","33"
"10/08/2017","164","PM10","Olancha","06-027-0021","AQS","2","41",".","164","134"
"10/09/2017","74","PM10","Olancha","06-027-0021","AQS","1","37",".","74","31"
"10/10/2017","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40",".","18","13"
"10/11/2017","63","PM2.5","Keeler","06-027-1003","AQS","2","45",".","50","63"
"10/12/2017","69","PM2.5","Keeler","06-027-1003","AQS","2","44",".","49","69"
"10/13/2017","58","PM2.5","Keeler","06-027-1003","AQS","2","44",".","31","58"
"10/14/2017","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","45",".","27","41"
"10/15/2017","45","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","45",".","23","16"
"10/16/2017","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","42",".","23","30"
"10/17/2017","57","PM2.5","Keeler","06-027-1003","AQS","2","38",".","33","57"
"10/18/2017","59","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","13",".","32","59"
"10/19/2017","52","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","43",".","35","52"
"10/20/2017","103","PM10","Fort Independence Indian Community","06-027-1028","AQS","1","51",".","103","15"
"10/21/2017","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","41",".","19","23"
"10/22/2017","39","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","39",".","21","16"
"10/23/2017","36","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","36",".","19","15"
"10/24/2017","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","38",".","21","13"
"10/25/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38",".","21","11"
"10/26/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38",".","21","27"
